open,close,high,low,value,volume,begin,end,end_time,time_diff
133.9,133.96,134.14,133.84,753235.08,5621,2023-01-03 11:00:00,2023-01-03 11:59:59,11:59:59,0 days 00:00:01
134.24,134.24,134.26,134.18,365079.92000000004,2720,2023-01-04 11:00:00,2023-01-04 11:59:59,11:59:59,0 days 00:00:01
134.42,134.48,134.52,134.36,515935.31999999995,3836,2023-01-05 11:00:00,2023-01-05 11:59:59,11:59:59,0 days 00:00:01
134.7,134.7,134.7,134.56,492684.72000000003,3660,2023-01-06 11:00:00,2023-01-06 11:59:59,11:59:59,0 days 00:00:01
134.36,134.42,134.48,134.28,1167633.1399999997,8688,2023-01-09 11:00:00,2023-01-09 11:59:59,11:59:59,0 days 00:00:01
134.52,134.52,134.6,134.48,230489.47999999998,1713,2023-01-10 11:00:00,2023-01-10 11:59:59,11:59:59,0 days 00:00:01
134.36,134.26,134.38,134.22,284691.18,2120,2023-01-11 11:00:00,2023-01-11 11:59:59,11:59:59,0 days 00:00:01
134.38,134.26,134.4,134.26,270310.92,2012,2023-01-12 11:00:00,2023-01-12 11:59:59,11:59:59,0 days 00:00:01
134.2,134.2,134.24,134.1,658312.2999999999,4906,2023-01-13 11:00:00,2023-01-13 11:59:59,11:59:59,0 days 00:00:01
134.58,134.48,134.58,134.42,228508.22,1699,2023-01-17 11:00:00,2023-01-17 11:59:03,11:59:03,0 days 00:00:57
134.4,134.38,134.42,134.22,341153.52,2540,2023-01-18 11:00:00,2023-01-18 11:59:59,11:59:59,0 days 00:00:01
134.58,134.56,134.58,134.52,289683.96,2153,2023-01-19 11:00:00,2023-01-19 11:59:59,11:59:59,0 days 00:00:01
134.5,134.52,134.52,134.5,242928.35999999993,1806,2023-01-20 11:00:00,2023-01-20 11:59:59,11:59:59,0 days 00:00:01
134.66,134.72,134.76,134.56,389355.6999999998,2890,2023-01-23 11:00:00,2023-01-23 11:59:59,11:59:59,0 days 00:00:01
134.64,134.7,134.7,134.54,187835.57999999996,1395,2023-01-24 11:00:00,2023-01-24 11:59:02,11:59:02,0 days 00:00:58
134.58,134.58,134.6,134.44,720771.1400000001,5360,2023-01-25 11:00:00,2023-01-25 11:59:59,11:59:59,0 days 00:00:01
134.56,134.56,134.72,134.56,605403.1199999999,4497,2023-01-26 11:00:00,2023-01-26 11:59:02,11:59:02,0 days 00:00:58
134.66,134.56,134.7,134.52,606849.86,4509,2023-01-27 11:00:00,2023-01-27 11:59:59,11:59:59,0 days 00:00:01
134.58,134.56,134.66,134.5,295206.08,2194,2023-01-30 11:00:00,2023-01-30 11:59:59,11:59:59,0 days 00:00:01
134.66,134.68,134.76,134.64,920696.3399999997,6837,2023-01-31 11:00:00,2023-01-31 11:59:07,11:59:07,0 days 00:00:53
