min_return,window_minutes,total_return
0.0,5,
0.0,10,
0.0,15,
0.0,20,
0.0,25,
0.0,30,
0.001,5,
0.001,10,
0.001,15,
0.001,20,
0.001,25,
0.001,30,
0.002,5,
0.002,10,
0.002,15,
0.002,20,
0.002,25,
0.002,30,
0.003,5,
0.003,10,
0.003,15,
0.003,20,
0.003,25,
0.003,30,
0.004,5,
0.004,10,
0.004,15,
0.004,20,
0.004,25,
0.004,30,
0.005,5,
0.005,10,
0.005,15,
0.005,20,
0.005,25,
0.005,30,
0.006,5,
0.006,10,
0.006,15,
0.006,20,
0.006,25,
0.006,30,
0.007,5,
0.007,10,
0.007,15,
0.007,20,
0.007,25,
0.007,30,
0.008,5,
0.008,10,
0.008,15,
0.008,20,
0.008,25,
0.008,30,
0.009000000000000001,5,
0.009000000000000001,10,
0.009000000000000001,15,
0.009000000000000001,20,
0.009000000000000001,25,
0.009000000000000001,30,
0.01,5,
0.01,10,
0.01,15,
0.01,20,
0.01,25,
0.01,30,
0.011,5,
0.011,10,
0.011,15,
0.011,20,
0.011,25,
0.011,30,
0.012,5,
0.012,10,
0.012,15,
0.012,20,
0.012,25,
0.012,30,
0.013000000000000001,5,
0.013000000000000001,10,
0.013000000000000001,15,
0.013000000000000001,20,
0.013000000000000001,25,
0.013000000000000001,30,
0.014,5,
0.014,10,
0.014,15,
0.014,20,
0.014,25,
0.014,30,
0.015,5,
0.015,10,
0.015,15,
0.015,20,
0.015,25,
0.015,30,
